"lineup","over","freq","obj"
"1","25","2","0.05","Maximize Points"
"2","25","2","0.1","Maximize Points"
"3","25","2","0.25","Maximize Points"
"4","25","3","0.05","Maximize Points"
"5","25","3","0.1","Maximize Points"
"6","25","3","0.25","Maximize Points"
"7","25","4","0.05","Maximize Points"
"8","25","4","0.1","Maximize Points"
"9","25","4","0.25","Maximize Points"
"10","50","2","0.05","Maximize Points"
"11","50","2","0.1","Maximize Points"
"12","50","2","0.25","Maximize Points"
"13","50","3","0.05","Maximize Points"
"14","50","3","0.1","Maximize Points"
"15","50","3","0.25","Maximize Points"
"16","50","4","0.05","Maximize Points"
"17","50","4","0.1","Maximize Points"
"18","50","4","0.25","Maximize Points"
"19","75","2","0.05","Maximize Points"
"20","75","2","0.1","Maximize Points"
"21","75","2","0.25","Maximize Points"
"22","75","3","0.05","Maximize Points"
"23","75","3","0.1","Maximize Points"
"24","75","3","0.25","Maximize Points"
"25","75","4","0.05","Maximize Points"
"26","75","4","0.1","Maximize Points"
"27","75","4","0.25","Maximize Points"
